neighborhood,program_count
Athmar Park,500
Auraria,13
Baker,341
Barnum,437
Barnum West,233
Bear Valley,236
Belcaro,234
Berkeley,624
CBD,26
Capitol Hill,281
Central Park,1636
Chaffee Park,262
Cheesman Park,31
Cherry Creek,273
City Park,172
City Park West,31
Civic Center,44
Clayton,357
Cole,267
College View - South Platte,203
Congress Park,393
Cory - Merrill,503
DIA,192
East Colfax,53
Elyria Swansea,336
Five Points,592
Fort Logan,218
Gateway - Green Valley Ranch,1656
Globeville,169
Goldsmith,16
Hale,41
Hampden,126
Hampden South,403
Harvey Park,420
Harvey Park South,501
Highland,594
Hilltop,751
Indian Creek,21
Jefferson Park,22
Kennedy,13
Lincoln Park,329
Lowry Field,447
Mar Lee,949
Marston,284
Montbello,1353
Montclair,37
North Capitol Hill,93
North Park Hill,586
Northeast Park Hill,217
Overland,27
Platt Park,293
Regis,24
Rosedale,104
Ruby Hill,593
Skyland,284
Sloan Lake,300
South Park Hill,311
Southmoor Park,19
Speer,80
Sun Valley,104
Sunnyside,633
Union Station,7
University,235
University Hills,354
University Park,267
Valverde,34
Villa Park,453
Virginia Village,392
Washington Park,523
Washington Park West,220
Washington Virginia Vale,538
Wellshire,245
West Colfax,499
West Highland,263
Westwood,687
Whittier,67
