OBJECTID_1,NBHD_NAME,GLOBALID,avgsocioeconscore,avgAccessToCareScore,avgMobidityScore,mortalityscore,avgBuiltEnvScore,avgOverallEquityScore,Shape__Area,Shape__Length
1,Auraria,87c9a88b-4a1a-48ed-ae2d-32b24d0f2c99,5,3.5,3,5,4.5,4.19999981,17995319.0825195,17704.8481961766
2,Cory - Merrill,b14d96b6-ba70-4443-acdc-8728d9233d41,5,5,3,4,2.5,3.9000001,23391660.3203125,19901.6152370891
3,Belcaro,34ad8acd-5ffe-404b-a4e8-d8da5c87f55e,5,4.5,4.5,5,3.5,4.5,32480739.8198242,24881.0390041497
4,Washington Park,d548a714-1296-4cbe-a397-8e3ba67b1bf9,5,5,3.5,5,2.5,4.19999981,42112769.8959961,30834.6168993087
5,Washington Park West,abbb13fd-0259-4efa-9403-6a2389a57b67,5,5,4,4,3,4.19999981,24327691.9726563,22033.0449961597
6,Speer,3b78884a-d1dd-4791-898b-c07a2976bdf3,4,3.5,3,2,3.5,3.20000005,23807849.4023438,19917.3804105049
7,Cherry Creek,c08029bd-337f-4f9a-bcfe-6f3d56e24cfe,4.5,4,3,5,3.5,4,23328242.9790039,20181.1335168901
8,Country Club,35e98cc7-b67d-4de6-9159-903377a1de88,5,5,5,4,4.5,4.69999981,18103922.2885742,17113.1938203038
9,Congress Park,5f99fbbf-e7ee-46b2-8daf-52302c2ff874,4.5,4.5,3,3,2.5,3.5,28693595.6049805,21415.6010936075
10,City Park,6a412e5a-bc48-483e-8893-876e4bd311b7,3.5,4,3,5,4,3.9000001,21423593.9658203,18660.4167263187
11,Marston,4e31091b-457c-4000-a249-87fc4f780206,4,4,3,5,2,3.5999999,88380521.5419922,76918.4551937044
12,Fort Logan,061254e6-cb53-4b60-bf1e-abd953c43979,3,3,2,4,1.5,2.70000005,73912996.9414063,51894.8521910288
13,Washington Virginia Vale,c1e3511d-1054-4477-9059-c70fa92053d4,2.5,3,3,4,3.5,3.20000005,51395169.7636719,43845.0302654034
14,Barnum,ae55c467-f15e-478c-b789-4f79e22e4020,1,2,3,2,2,2,21507882.6166992,18715.2199319065
15,Barnum West,e39afff3-c27d-40b5-ab76-2fececa61f11,1.5,1.5,2.5,3,1,1.89999998,20179221.6499023,18309.0740646836
16,West Colfax,5fb1c9c3-0ec4-4025-a569-c2ced64a61bd,1.5,2,1.5,1,3,1.79999995,28049791.3876953,24602.8367930872
17,West Highland,404d895f-3820-4d71-90f9-e602a6d06c7e,4,4.5,3.5,4,3,3.79999995,31298250.4848633,23646.8559373397
18,Sloan Lake,ba37f8d2-5e7e-40ee-9e1e-dc2c77e7dbc5,2.5,4,2,3,4,3.0999999,39011057.3608398,26370.1944756137
19,Berkeley,dab8fcd1-fa9d-45fa-a7b5-b3090fc356fa,3.5,4,3,3,4,3.5,41763196.96875,26780.9066406507
20,Regis,d87a4d66-06ef-4a4f-aefa-3a853754cecf,2.5,3.5,1.5,2,2.5,2.4000001,28420025.2709961,28812.1123889502
21,Chaffee Park,514450c0-8a6b-4a07-a181-0ef809aba61f,3,3,2.5,3,4,3.0999999,21894089.9912109,23463.1535625016
22,Highland,5c80a009-cc67-473d-b66d-852ace10f688,3.5,4,3,2,3,3.0999999,32140439.7299805,23553.9569867208
23,Athmar Park,cf82ba85-16dc-4d4d-aa30-f237400ccfa6,1,2,3,3,2.5,2.29999995,43089152.5336914,27352.2864055587
24,Wellshire,74a8a0be-e6bf-409a-b0f2-bb4864dfced7,5,5,3,5,2.5,4.0999999,25890596.315918,21769.1903853629
25,University,0881cb54-5bb1-42f8-a3c9-c6fea661d5ef,4,3,4.5,4,2.5,3.5999999,34746627.6899414,27978.2495018074
26,Rosedale,9c864a42-8e6f-48e9-8a59-dea9315e0bdf,4,4,3,4,4.5,3.9000001,15714799.2436523,15839.834045747
27,Cheesman Park,6fac6a5d-729a-463e-9ba9-e0fe5ed65945,4,3.5,3,2,4.5,3.4000001,14682846.3857422,15276.3436533632
28,Hilltop,53f0557a-3def-442b-a2da-6cd0dbc0103b,5,4.5,4,5,3,4.30000019,48042249.1606445,33930.1190904957
29,Montclair,3f83b666-edfc-4876-acd1-caeb3e5b5997,5,5,3.5,4,3.5,4.19999981,28225487.2119141,21466.542674885
30,Hale,3edcf242-6bcc-4e21-b71d-d80d1410b9b8,3.5,4.5,2.5,3,3.5,3.4000001,27129100.8168945,20906.6895460227
31,North Park Hill,bef16efc-b003-47cf-b4ac-a8be3b2b2964,4,3.5,3.5,2,2,3,41661870.4379883,28876.6088772213
32,South Park Hill,e24e583b-cdd9-410e-812b-459677fc100a,4.5,5,4.5,4,2,4,41553244.8525391,28857.0010299383
33,University Park,d4c3be92-bcfc-4602-84da-f55dd1a09547,3.5,3.5,3,4,4.5,3.70000005,32409535.1713867,22577.1526860079
34,Platt Park,a6b10823-39ad-427d-ada8-796aecfad5ea,4.5,4.5,4.5,4,3.5,4.19999981,22814495.8100586,19693.9448371242
35,Overland,86f6bed6-a867-4837-bf9b-8b65b12d14b6,2,2,2,1,1.5,1.70000005,31304794.2504883,27691.7140154818
36,Ruby Hill,b5055196-58c5-4dd0-b0fe-7713c5e4b990,2,1.5,2,2,4,2.29999995,40476628.2299805,27363.1234288867
37,Kennedy,8c82f1f3-4d80-40a9-b973-7a810837ba86,2,1,4,4,3,2.79999995,19575087.7802734,23549.2361928226
38,Hampden,a0e40002-f9b7-461c-bf5a-3ebfb68315ad,3,3,3,4,2.5,3.0999999,78761939.2949219,62418.6416036321
39,Southmoor Park,6b90fef6-daba-472c-b868-dbaba51d01d8,4,4.5,3,5,1.5,3.5999999,25967087.2631836,35130.8676053265
40,Hampden South,5b6c7e01-08f3-48b0-b213-f53564045bc0,4.5,4,2.5,4,2.5,3.5,81168938.6484375,38297.5048545971
41,Indian Creek,cc4bd396-1456-4273-9958-3898e9e16396,4.5,3.5,3,5,1.5,3.5,13589034.9208984,22128.8012098853
42,Goldsmith,cac5cc79-e592-4bc6-b35e-8d07bb5934f8,3,2.5,2.5,2,3,2.5999999,21562449.6210938,34328.5018848854
43,University Hills,5a52ba2b-fc88-4bb1-b1cd-710546e7fd53,4,4.5,2.5,3,3.5,3.5,40462891.543457,38231.666859876
44,Harvey Park,e0998f8c-14c3-4428-957e-b4b94e661cef,2,2.5,2,3,1.5,2.20000005,46989535.4858398,32202.2356352665
45,Mar Lee,569e3831-0894-4ad8-b3a6-b508cb043823,2,1.5,2.5,2,3.5,2.29999995,42024929.5024414,26475.1059902851
46,East Colfax,d6ec0b87-b180-4f8d-9678-c4d9171130f3,1.5,1.5,3.5,1,2,1.89999998,29808302.7167969,23790.852130198
47,Capitol Hill,7e91aaee-6675-491a-8e33-26bb81d88528,4,2.5,4,1,4,3.0999999,18857522.8935547,17446.2262570755
48,North Capitol Hill,17f81e2a-6d1d-49bc-81ac-ad4144832c38,3,2,2.5,1,5,2.70000005,9829084.39550781,12487.5950127968
49,Civic Center,a1ff7064-2c31-450c-8e7b-dfb7577f417c,4,2.5,3.5,5,5,4,8472228.09130859,13890.0455048074
50,CBD,879f5279-a502-4780-a664-e8768440360d,2.5,2,4,5,5,3.70000005,12018056.0625,13717.962639315
51,Union Station,a09b4c16-143e-4af9-93ea-c52e0e56b032,3.5,3.5,4,5,5,4.19999981,12230779.2675781,14577.4684156958
52,Stapleton,d1ba4db9-dac4-418b-8443-7ecf310e1da6,4.5,4.5,4,5,2.5,4.0999999,250484446.697754,95835.8087896332
53,Montbello,392ed13e-aa36-4ff8-b2bc-6062681bc06f,1.5,1,3,3,3,2.29999995,141118731.907715,49232.5089944167
54,Lowry Field,c142b4e7-2e3b-4335-b4ce-a75aa3723f2e,4,4,3,3,3.5,3.5,71897804.0908203,41607.2249070625
55,Gateway - Green Valley Ranch,e847be70-4955-477c-a587-49a374041438,3,1.5,4,3,2,2.70000005,205298649.115234,66234.3766757122
56,Harvey Park South,43bfaea9-12b1-48dc-a545-9b90f513bc30,2,2,3.5,3,1.5,2.4000001,38100563.0927734,26811.3823770226
57,College View - South Platte,9af80206-6b8d-42e0-9abb-26f8222968da,1,1,2.5,1,3.5,1.79999995,40660012.3691406,47155.1187082715
58,City Park West,3882e4c5-13ec-4a9e-aeec-1939c3f8911d,2.5,3,2,1,4,2.5,14914344.2744141,15458.952175397
59,Sun Valley,25bc6cf4-e84d-496e-837c-d90b3fb3a1e2,1,1,3.5,2,3,2.0999999,17906709.2573242,21013.6955489352
60,Valverde,d12191c1-37d1-404f-874e-8fbe931935a1,1.5,1,2,1,2.5,1.60000002,26766089.2563477,22063.8171808619
61,Villa Park,66e1baa6-174f-44e9-ba45-7aa572d864be,1,1,1.5,2,2.5,1.60000002,27500990.9707031,26016.8012679668
62,Five Points,3c6cb431-2112-4cf3-b305-7c45dbda0dee,2.5,1.5,3.5,1,3.5,2.4000001,49016631.8359375,32937.0055477919
63,Globeville,e01ba671-d3a3-4030-8118-54ce287925f9,1,1.5,3,1,1.5,1.60000002,57425781.2612305,42152.1172194909
64,Bear Valley,447af022-b312-40ed-9d7c-6097b655b9de,3.5,3,2.5,5,2.5,3.29999995,37656366.1616211,35132.0291783813
65,Virginia Village,4c5d217c-d01e-474f-9f29-895824a63685,3,3.5,2,2,2,2.5,53723060.8349609,37172.5817662946
66,Windsor,b8e63cc4-8aa5-4e04-9f99-14962fca1572,2,2.5,2,4,1,2.29999995,47667490.7026367,38064.3098435095
67,Jefferson Park,93c40313-0ee9-499c-9eb3-a876e51fd9f9,2,2,3,3,5,3,13715106.5454102,17949.0266822314
68,Northeast Park Hill,0041fee0-b4d0-44b8-ac2d-186857a6930a,1.5,2,3,1,3,2.0999999,92850328.5917969,41938.7358582869
69,Elyria Swansea,c6e8537c-4809-41c0-a45a-8cd29b541555,1,1,3,3,3,2.20000005,72332227.9677734,35030.3983479241
70,Baker,3437d946-55d5-4ed3-99da-701c675f5e2e,3,4,2.5,2,4,3.0999999,41583761.3237305,32991.5434733589
71,Clayton,74fc7d91-50b4-4840-9963-e2a5b7d57a1b,1,3,3.5,1,3,2.29999995,21486778.5561523,18648.793224955
72,Skyland,b452d0b7-cd68-40c3-993c-7468c5b69ab8,3,3,3.5,1,2.5,2.5999999,21282577.5039063,18885.8211971908
73,Lincoln Park,3f82bb8d-4dfa-4c94-84d2-03c85709a67c,1,1.5,1.5,1,4,1.79999995,35576104.5415039,25194.4615183818
74,Whittier,675668c8-9aa5-4ea7-b364-2e6d7e2c93b3,3,2.5,4,2,3,2.9000001,15698881.4262695,15874.2658729752
75,Cole,4a8113e8-ddba-475f-9789-33439fd58387,1.5,2.5,3.5,1,4,2.5,14276680.184082,14883.8611166321
76,Westwood,c064a6a1-de11-4451-801c-86c3305437ee,1,1.5,3,2,2.5,2,41725283.0014648,26483.3359069826
77,Sunnyside,09c674f6-5efc-4d2a-addf-617012a00bae,2,3,2.5,2,2.5,2.4000001,39694347.9990234,25642.4769381098
78,DIA,5ab96def-2eae-45fd-8174-4b63e283b7af,3.5,3,3,5,1,3.0999999,1181286887.05518,198712.271614125
